particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
,delta,,,1594,,,,,,,,10985,14.5107,∆ abs(i)
,total,,,6036,,,,,,,,142805,4.22674,Σ ∆i
Eta η,particle,,,,,,,,,,,,,
,max,1072.174,1072.141,2148213,0.5,1.0,0.5,-3.0,-3.0,1.5,-1.0,,,
,mean,1072.139(35),1072.125,-29,,,,,,,,,,
,min,1072.103,1072.11,2148243,0.5,1.0,0.5,-3.0,-2.5,-2.0,-1.0,,,
,delta,,,29,,,,,,,,10985,0.264,∆ abs(i)
,max,1072.174,1072.168,2163500,0.5,1.0,1.0,-0.5,-2.5,2.5,0.0,,,
,mean,1072.139(35),1072.136,-238,,,,,,,,,,
,min,1072.103,1072.105,2163739,0.5,1.0,1.0,-0.5,-0.5,0.5,-0.5,,,
,delta,,,238,,,,,,,,10985,2.16659,∆ abs(i)
,max,1072.174,1072.171,2179879,0.5,1.0,1.5,2.5,0.0,2.5,-0.5,,,
,mean,1072.139(35),1072.138,354,,,,,,,,,,
,min,1072.103,1072.105,2179526,0.5,1.0,1.5,2.5,-2.5,-0.5,0.5,,,
,delta,,,354,,,,,,,,10985,3.22258,∆ abs(i)
,max,1072.174,1072.172,2241981,0.5,1.5,-2.0,0.5,-3.0,-1.5,0.5,,,
,mean,1072.139(35),1072.138,1215,,,,,,,,,,
,min,1072.103,1072.104,2240767,0.5,1.5,-2.0,-0.5,0.5,0.5,1.0,,,
,delta,,,1215,,,,,,,,10985,11.06054,∆ abs(i)
,max,1072.174,1072.17,2257122,0.5,1.5,-1.5,2.5,3.0,-2.0,1.0,,,
,mean,1072.139(35),1072.139,-224,,,,,,,,,,
,min,1072.103,1072.109,2257347,0.5,1.5,-1.5,3.0,-2.0,1.0,1.0,,,
,delta,,,224,,,,,,,,10985,2.03914,∆ abs(i)
,max,1072.174,1072.173,3061884,1.0,-2.5,3.0,-2.0,-1.0,-2.0,-0.5,,,
,mean,1072.139(35),1072.152,1378,,,,,,,,,,
,min,1072.103,1072.132,3060507,1.0,-2.5,3.0,-3.0,1.0,3.0,1.0,,,
,delta,,,1378,,,,,,,,65910,2.09073,∆ abs(i)
,max,1072.174,1072.171,3138502,1.0,-2.0,0.0,-2.5,3.0,2.5,1.0,,,
,mean,1072.139(35),1072.139,-663,,,,,,,,,,
,min,1072.103,1072.106,3139166,1.0,-2.0,0.0,-2.0,2.0,-2.5,0.5,,,
,delta,,,663,,,,,,,,10985,6.0355,∆ abs(i)
,max,1072.174,1072.169,3156793,1.0,-2.0,0.5,2.0,1.0,-1.0,-1.0,,,
,mean,1072.139(35),1072.138,939,,,,,,,,,,
,min,1072.103,1072.108,3155855,1.0,-2.0,0.5,1.5,0.0,2.5,0.0,,,
,delta,,,939,,,,,,,,10985,8.54802,∆ abs(i)
,max,1072.174,1072.164,3218839,1.0,-1.5,-3.0,0.0,-3.0,2.5,-0.5,,,
,mean,1072.139(35),1072.134,-89,,,,,,,,,,
,min,1072.103,1072.104,3218929,1.0,-1.5,-3.0,0.0,-2.0,-1.5,-0.5,,,
,delta,,,89,,,,,,,,10985,0.8102,∆ abs(i)
